iter	Passed	Remaining
732	14625	5327
733	14647	5308
734	14667	5288
735	14688	5268
736	14710	5249
737	14731	5230
738	14753	5210
739	14775	5191
740	14795	5171
741	14815	5151
742	14836	5131
743	14855	5111
744	14874	5091
745	14893	5070
746	14913	5051
747	14934	5031
748	14953	5011
749	14973	4991
750	14993	4971
751	15013	4951
752	15031	4930
753	15050	4910
754	15070	4890
755	15089	4870
756	15111	4850
757	15135	4832
758	15155	4812
759	15175	4792
760	15195	4772
761	15215	4752
762	15235	4732
763	15256	4712
764	15275	4692
765	15295	4672
766	15317	4653
767	15337	4633
768	15357	4613
769	15377	4593
770	15397	4573
771	15419	4554
772	15439	4533
773	15459	4514
774	15479	4494
775	15500	4474
776	15519	4454
777	15539	4434
778	15557	4413
779	15576	4393
780	15597	4373
781	15616	4353
782	15636	4333
783	15654	4313
784	15675	4293
785	15695	4273
786	15715	4253
787	15736	4233
788	15757	4213
789	15776	4193
790	15795	4173
791	15813	4153
792	15833	4133
793	15852	4112
794	15870	4092
795	15891	4072
796	15911	4052
797	15929	4032
798	15948	4012
799	15966	3991
800	15986	3971
801	16005	3951
802	16024	3931
803	16043	3911
804	16062	3890
805	16080	3870
806	16100	3850
807	16120	3830
808	16141	3810
809	16160	3790
810	16180	3770
811	16199	3750
812	16220	3731
813	16239	3710
814	16258	3690
815	16276	3670
816	16297	3650
817	16317	3630
818	16336	3610
819	16356	3590
820	16374	3570
821	16394	3550
822	16413	3530
823	16433	3509
824	16451	3489
825	16470	3469
826	16489	3449
827	16510	3429
828	16529	3409
829	16548	3389
830	16566	3369
831	16585	3349
832	16605	3329
833	16624	3308
834	16643	3288
835	16662	3268
836	16682	3248
837	16702	3228
838	16724	3209
839	16743	3189
840	16762	3169
841	16781	3148
842	16800	3128
843	16818	3108
844	16836	3088
845	16855	3068
846	16876	3048
847	16895	3028
848	16914	3008
849	16933	2988
850	16952	2968
851	16971	2948
852	16990	2928
853	17009	2907
854	17027	2887
855	17046	2867
856	17064	2847
857	17084	2827
858	17106	2807
859	17127	2788
860	17146	2768
861	17164	2747
862	17182	2727
863	17201	2707
864	17220	2687
865	17237	2667
866	17256	2647
867	17275	2627
868	17296	2607
869	17316	2587
870	17335	2567
871	17354	2547
872	17374	2527
873	17393	2507
874	17412	2487
875	17432	2467
876	17451	2447
